"자치구별(1)","자치구별(2)",현황별(1),현황별(2),2021
"합계","서대문구",발생건수 (건),기타불명,9
"합계","서대문구",사망자수 (명),소계,9
"합계","서대문구",사망자수 (명),남자,9
"합계","서대문구",사망자수 (명),여자,-
"합계","서대문구",부상자수 (명),소계,1206
"합계","서대문구",부상자수 (명),남자,987
"합계","서대문구",부상자수 (명),여자,207
"합계","서대문구",부상자수 (명),기타불명,12
"합계","마포구",발생건수 (건),소계,1102
"합계","마포구",발생건수 (건),남자,863
"합계","마포구",발생건수 (건),여자,206
"합계","마포구",발생건수 (건),기타불명,33
"합계","마포구",사망자수 (명),소계,14
"합계","마포구",사망자수 (명),남자,13
"합계","마포구",사망자수 (명),여자,1
"합계","마포구",부상자수 (명),소계,1573
"합계","마포구",부상자수 (명),남자,1241
"합계","마포구",부상자수 (명),여자,294
"합계","마포구",부상자수 (명),기타불명,38
"합계","양천구",발생건수 (건),소계,1305
"합계","양천구",발생건수 (건),남자,978
"합계","양천구",발생건수 (건),여자,282
"합계","양천구",발생건수 (건),기타불명,45
"합계","양천구",사망자수 (명),소계,14
"합계","양천구",사망자수 (명),남자,12
"합계","양천구",사망자수 (명),여자,2
"합계","양천구",부상자수 (명),소계,1692
"합계","양천구",부상자수 (명),남자,1259
"합계","양천구",부상자수 (명),여자,386
"합계","양천구",부상자수 (명),기타불명,47
"합계","강서구",발생건수 (건),소계,1501
"합계","강서구",발생건수 (건),남자,1172
"합계","강서구",발생건수 (건),여자,283
"합계","강서구",발생건수 (건),기타불명,46
"합계","강서구",사망자수 (명),소계,13
"합계","강서구",사망자수 (명),남자,13
"합계","강서구",사망자수 (명),여자,-
"합계","강서구",부상자수 (명),소계,2042
"합계","강서구",부상자수 (명),남자,1606
"합계","강서구",부상자수 (명),여자,386
"합계","강서구",부상자수 (명),기타불명,50
"합계","구로구",발생건수 (건),소계,1350
"합계","구로구",발생건수 (건),남자,1102
"합계","구로구",발생건수 (건),여자,234
"합계","구로구",발생건수 (건),기타불명,14
"합계","구로구",사망자수 (명),소계,9
"합계","구로구",사망자수 (명),남자,9
"합계","구로구",사망자수 (명),여자,-
"합계","구로구",부상자수 (명),소계,1729
"합계","구로구",부상자수 (명),남자,1427
"합계","구로구",부상자수 (명),여자,287
"합계","구로구",부상자수 (명),기타불명,15
"합계","금천구",발생건수 (건),소계,827
"합계","금천구",발생건수 (건),남자,679
"합계","금천구",발생건수 (건),여자,132
"합계","금천구",발생건수 (건),기타불명,16
"합계","금천구",사망자수 (명),소계,16
"합계","금천구",사망자수 (명),남자,14
"합계","금천구",사망자수 (명),여자,2
"합계","금천구",부상자수 (명),소계,1167
"합계","금천구",부상자수 (명),남자,970
"합계","금천구",부상자수 (명),여자,179
"합계","금천구",부상자수 (명),기타불명,18
"합계","영등포구",발생건수 (건),소계,2178
"합계","영등포구",발생건수 (건),남자,1756
"합계","영등포구",발생건수 (건),여자,385
"합계","영등포구",발생건수 (건),기타불명,37
"합계","영등포구",사망자수 (명),소계,15
"합계","영등포구",사망자수 (명),남자,15
"합계","영등포구",사망자수 (명),여자,-
"합계","영등포구",부상자수 (명),소계,2967
"합계","영등포구",부상자수 (명),남자,2409
"합계","영등포구",부상자수 (명),여자,519
"합계","영등포구",부상자수 (명),기타불명,39
"합계","동작구",발생건수 (건),소계,1148
"합계","동작구",발생건수 (건),남자,945
"합계","동작구",발생건수 (건),여자,188
"합계","동작구",발생건수 (건),기타불명,15
"합계","동작구",사망자수 (명),소계,11
"합계","동작구",사망자수 (명),남자,10
"합계","동작구",사망자수 (명),여자,1
"합계","동작구",부상자수 (명),소계,1520
"합계","동작구",부상자수 (명),남자,1267
"합계","동작구",부상자수 (명),여자,238
"합계","동작구",부상자수 (명),기타불명,15
"합계","관악구",발생건수 (건),소계,1419
"합계","관악구",발생건수 (건),남자,1186
"합계","관악구",발생건수 (건),여자,227
"합계","관악구",발생건수 (건),기타불명,6
"합계","관악구",사망자수 (명),소계,8
"합계","관악구",사망자수 (명),남자,8
"합계","관악구",사망자수 (명),여자,-
"합계","관악구",부상자수 (명),소계,1829
"합계","관악구",부상자수 (명),남자,1528
"합계","관악구",부상자수 (명),여자,295
"합계","관악구",부상자수 (명),기타불명,6
"합계","서초구",발생건수 (건),소계,2118
"합계","서초구",발생건수 (건),남자,1557
"합계","서초구",발생건수 (건),여자,496
"합계","서초구",발생건수 (건),기타불명,65
"합계","서초구",사망자수 (명),소계,8
"합계","서초구",사망자수 (명),남자,7
"합계","서초구",사망자수 (명),여자,1
"합계","서초구",부상자수 (명),소계,2932
"합계","서초구",부상자수 (명),남자,2155
"합계","서초구",부상자수 (명),여자,706
"합계","서초구",부상자수 (명),기타불명,71
"합계","강남구",발생건수 (건),소계,3820
"합계","강남구",발생건수 (건),남자,2852
"합계","강남구",발생건수 (건),여자,879
"합계","강남구",발생건수 (건),기타불명,89
"합계","강남구",사망자수 (명),소계,10
"합계","강남구",사망자수 (명),남자,9
"합계","강남구",사망자수 (명),여자,1
"합계","강남구",부상자수 (명),소계,5175
"합계","강남구",부상자수 (명),남자,3893
"합계","강남구",부상자수 (명),여자,1189
"합계","강남구",부상자수 (명),기타불명,93
"합계","송파구",발생건수 (건),소계,2607
"합계","송파구",발생건수 (건),남자,1966
"합계","송파구",발생건수 (건),여자,572
"합계","송파구",발생건수 (건),기타불명,69
"합계","송파구",사망자수 (명),소계,14
"합계","송파구",사망자수 (명),남자,12
"합계","송파구",사망자수 (명),여자,2
"합계","송파구",부상자수 (명),소계,3509
"합계","송파구",부상자수 (명),남자,2660
"합계","송파구",부상자수 (명),여자,776
"합계","송파구",부상자수 (명),기타불명,73
"합계","강동구",발생건수 (건),소계,1047
"합계","강동구",발생건수 (건),남자,834
"합계","강동구",발생건수 (건),여자,188
"합계","강동구",발생건수 (건),기타불명,25
"합계","강동구",사망자수 (명),소계,9
"합계","강동구",사망자수 (명),남자,9
"합계","강동구",사망자수 (명),여자,-
"합계","강동구",부상자수 (명),소계,1413
"합계","강동구",부상자수 (명),남자,1148
"합계","강동구",부상자수 (명),여자,236
"합계","강동구",부상자수 (명),기타불명,
