"자치구별(1)","자치구별(2)","사고유형별(1)",사고유형별(2),구분별(1),2021
"합계","도봉구","차대사람",소계,발생건수 (건),167
"합계","도봉구","차대사람",소계,사망자수 (명),1
"합계","도봉구","차대사람",소계,부상자수 (명),181
"합계","도봉구","차대차",소계,발생건수 (건),395
"합계","도봉구","차대차",소계,사망자수 (명),2
"합계","도봉구","차대차",소계,부상자수 (명),554
"합계","도봉구","차량단독",소계,발생건수 (건),29
"합계","도봉구","차량단독",소계,사망자수 (명),-
"합계","도봉구","차량단독",소계,부상자수 (명),33
"합계","노원구","합계",소계,발생건수 (건),1413
"합계","노원구","합계",소계,사망자수 (명),8
"합계","노원구","합계",소계,부상자수 (명),1940
"합계","노원구","차대사람",소계,발생건수 (건),280
"합계","노원구","차대사람",소계,사망자수 (명),2
"합계","노원구","차대사람",소계,부상자수 (명),298
"합계","노원구","차대차",소계,발생건수 (건),1078
"합계","노원구","차대차",소계,사망자수 (명),-
"합계","노원구","차대차",소계,부상자수 (명),1588
"합계","노원구","차량단독",소계,발생건수 (건),55
"합계","노원구","차량단독",소계,사망자수 (명),6
"합계","노원구","차량단독",소계,부상자수 (명),54
"합계","은평구","합계",소계,발생건수 (건),867
"합계","은평구","합계",소계,사망자수 (명),11
"합계","은평구","합계",소계,부상자수 (명),1218
"합계","은평구","차대사람",소계,발생건수 (건),250
"합계","은평구","차대사람",소계,사망자수 (명),2
"합계","은평구","차대사람",소계,부상자수 (명),259
"합계","은평구","차대차",소계,발생건수 (건),583
"합계","은평구","차대차",소계,사망자수 (명),5
"합계","은평구","차대차",소계,부상자수 (명),917
"합계","은평구","차량단독",소계,발생건수 (건),34
"합계","은평구","차량단독",소계,사망자수 (명),4
"합계","은평구","차량단독",소계,부상자수 (명),42
"합계","서대문구","합계",소계,발생건수 (건),930
"합계","서대문구","합계",소계,사망자수 (명),9
"합계","서대문구","합계",소계,부상자수 (명),1206
"합계","서대문구","차대사람",소계,발생건수 (건),216
"합계","서대문구","차대사람",소계,사망자수 (명),3
"합계","서대문구","차대사람",소계,부상자수 (명),232
"합계","서대문구","차대차",소계,발생건수 (건),665
"합계","서대문구","차대차",소계,사망자수 (명),4
"합계","서대문구","차대차",소계,부상자수 (명),921
"합계","서대문구","차량단독",소계,발생건수 (건),49
"합계","서대문구","차량단독",소계,사망자수 (명),2
"합계","서대문구","차량단독",소계,부상자수 (명),53
"합계","마포구","합계",소계,발생건수 (건),1102
"합계","마포구","합계",소계,사망자수 (명),14
"합계","마포구","합계",소계,부상자수 (명),1573
"합계","마포구","차대사람",소계,발생건수 (건),228
"합계","마포구","차대사람",소계,사망자수 (명),6
"합계","마포구","차대사람",소계,부상자수 (명),234
"합계","마포구","차대차",소계,발생건수 (건),854
"합계","마포구","차대차",소계,사망자수 (명),8
"합계","마포구","차대차",소계,부상자수 (명),1318
"합계","마포구","차량단독",소계,발생건수 (건),20
"합계","마포구","차량단독",소계,사망자수 (명),-
"합계","마포구","차량단독",소계,부상자수 (명),21
"합계","양천구","합계",소계,발생건수 (건),1305
"합계","양천구","합계",소계,사망자수 (명),14
"합계","양천구","합계",소계,부상자수 (명),1692
"합계","양천구","차대사람",소계,발생건수 (건),284
"합계","양천구","차대사람",소계,사망자수 (명),7
"합계","양천구","차대사람",소계,부상자수 (명),289
"합계","양천구","차대차",소계,발생건수 (건),992
"합계","양천구","차대차",소계,사망자수 (명),6
"합계","양천구","차대차",소계,부상자수 (명),1374
"합계","양천구","차량단독",소계,발생건수 (건),29
"합계","양천구","차량단독",소계,사망자수 (명),1
"합계","양천구","차량단독",소계,부상자수 (명),29
"합계","강서구","합계",소계,발생건수 (건),1501
"합계","강서구","합계",소계,사망자수 (명),13
"합계","강서구","합계",소계,부상자수 (명),2042
"합계","강서구","차대사람",소계,발생건수 (건),340
"합계","강서구","차대사람",소계,사망자수 (명),7
"합계","강서구","차대사람",소계,부상자수 (명),356
"합계","강서구","차대차",소계,발생건수 (건),1121
"합계","강서구","차대차",소계,사망자수 (명),6
"합계","강서구","차대차",소계,부상자수 (명),1639
"합계","강서구","차량단독",소계,발생건수 (건),40
"합계","강서구","차량단독",소계,사망자수 (명),-
"합계","강서구","차량단독",소계,부상자수 (명),47
"합계","구로구","합계",소계,발생건수 (건),1350
"합계","구로구","합계",소계,사망자수 (명),9
"합계","구로구","합계",소계,부상자수 (명),1729
"합계","구로구","차대사람",소계,발생건수 (건),274
"합계","구로구","차대사람",소계,사망자수 (명),2
"합계","구로구","차대사람",소계,부상자수 (명),287
"합계","구로구","차대차",소계,발생건수 (건),1042
"합계","구로구","차대차",소계,사망자수 (명),4
"합계","구로구","차대차",소계,부상자수 (명),1404
"합계","구로구","차량단독",소계,발생건수 (건),34
"합계","구로구","차량단독",소계,사망자수 (명),3
"합계","구로구","차량단독",소계,부상자수 (명),38
"합계","금천구","합계",소계,발생건수 (건),827
"합계","금천구","합계",소계,사망자수 (명),16
"합계","금천구","합계",소계,부상자수 (명),1167
"합계","금천구","차대사람",소계,발생건수 (건),173
"합계","금천구","차대사람",소계,사망자수 (명),6
"합계","금천구","차대사람",소계,부상자수 (명),176
"합계","금천구","차대차",소계,발생건수 (건),616
"합계","금천구","차대차",소계,사망자수 (명),10
"합계","금천구","차대차",소계,부상자수 (명),950
"합계","금천구","차량단독",소계,발생건수 (건),38
"합계","금천구","차량단독",소계,사망자수 (명),-
"합계","금천구","차량단독",소계,부상자수 (명),41
"합계","영등포구","합계",소계,발생건수 (건),2178
"합계","영등포구","합계",소계,사망자수 (명),15
"합계","영등포구","합계",소계,부상자수 (명),2967
"합계","영등포구","차대사람",소계,발생건수 (건),340
"합계","영등포구","차대사람",소계,사망자수 (명),9
"합계","영등포구","차대사람",소계,부상자수 (명),352
"합계","영등포구","차대차",소계,발생건수 (건),1790
"합계","영등포구","차대차",소계,사망자수 (명),6
"합계","영등포구","차대차",소계,부상자수 (명),2564
"합계","영등포구","차량단독",소계,발생건수 (건),48
"합계","영등포구","차량단독",소계,사망자수 (명),-
"합계","영등포구","차량단독",소계,부상자수 (명),51
"합계","동작구","합계",소계,발생건수 (건),1148
"합계","동작구","합계",소계,사망자수 (명),11
"합계","동작구","합계",소계,부상자수 (명),1520
"합계","동작구","차대사람",소계,발생건수 (건),285
"합계","동작구","차대사람",소계,사망자수 (명),8
"합계","동작구","차대사람",소계,부상자수 (명),291
"합계","동작구","차대차",소계,발생건수 (건),829
"합계","동작구","차대차",소계,사망자수 (명),3
"합계","동작구","차대차",소계,부상자수 (명),1194
"합계","동작구","차량단독",소계,발생건수 (건),34
"합계","동작구","차량단독",소계,사망자수 (명),-
"합계","동작구","차량단독",소계,부상자수 (명),35
"합계","관악구","합계",소계,발생건수 (건),1419
"합계","관악구","합계",소계,사망자수 (명),8
"합계","관악구","합계",소계,부상자수 (명),1829
"합계","관악구","차대사람",소계,발생건수 (건),315
"합계","관악구","차대사람",소계,사망자수 (명),5
"합계","관악구","차대사람",소계,부상자수 (명),329
"합계","관악구","차대차",소계,발생건수 (건),1064
"합계","관악구","차대차",소계,사망자수 (명),3
"합계","관악구","차대차",소계,부상자수 (명),1451
"합계","관악구","차량단독",소계,발생건수 (건),40
"합계","관악구","차량단독",소계,사망자수 (명),-
"합계","관악구","차량단독",소계,부상자수 (명),49
